交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-04-21 10:48:23,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078863915,`wx36177abf9259c7ff1429584498,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 10:54:13,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078893407,`wx36177abf9259c7ff1429584848,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 11:11:29,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078935619,`wx36177abf9259c7ff1429585884,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 11:15:21,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078945819,`wx36177abf9259c7ff1429586115,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 11:29:19,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078961495,`wx36177abf9259c7ff1429586951,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 11:34:15,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078962522,`wx36177abf9259c7ff1429587249,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 11:45:14,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079000104,`wx36177abf9259c7ff1429587908,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 14:20:14,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079366058,`wx36177abf9259c7ff1429597208,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 14:31:41,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079379924,`wx36177abf9259c7ff1429597893,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 14:40:42,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079411643,`wx36177abf9259c7ff1429598435,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 16:16:51,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079621640,`wx36177abf9259c7ff1429604205,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 16:18:50,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210079610782,`wx36177abf9259c7ff1429604324,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 16:22:38,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504210079625933,`12898095933271938442,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`5.00,`3.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.03000,`0.60%
`2015-04-21 16:23:28,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504210079635861,`12898095933271938940,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`3.00,`1.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.02000,`0.60%
`2015-04-21 16:25:06,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504210079625933,`12898095933271938442,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504210003616137,`101611872015042100796259331429604705,`5.00,`3.00,`ORIGINAL,`SUCCESS,`商品测试,`,`-0.01000,`0.60%
`2015-04-21 16:25:44,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504210079635861,`12898095933271938940,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504210003615318,`101611872015042100796358611429604743,`3.00,`1.00,`ORIGINAL,`SUCCESS,`商品测试,`,`0.00000,`0.60%
`2015-04-21 17:15:50,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504210079770603,`12898095933271970646,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`10.00,`9.50,`0,`0,`0,`0,`,`,`商品测试,`,`0.05000,`0.60%
`2015-04-21 19:33:31,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201504210080070925,`12898095933272004926,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`5.00,`0.00,`0,`0,`0,`0,`,`,`普通包装海参,`,`0.03000,`0.60%
`2015-04-22 14:01:23,`wx36177abf9259c7ff,`10161187,`0,`,`1001530035201504220081550248,`wx36177abf9259c7ff1429682463,`o6j3_stFjtOq97wFtT4Y95VNak1E,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-22 14:04:57,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504220081535967,`wx36177abf9259c7ff1429682688,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-22 14:16:31,`wx36177abf9259c7ff,`10161187,`0,`,`1004180035201504220081535967,`wx36177abf9259c7ff1429682688,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`NATIVE,`REFUND,`CFT,`CNY,`0,`0,`2004180035201504220003658501,`101611872015042200815359671429683391,`0.01,`0.00,`ORIGINAL,`SUCCESS,`海参,`,`0.00000,`0.60%
`2015-04-23 13:45:41,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504230083909638,`wx36177abf9259c7ff1429767932,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
